location name,lat,lon,day,time,pm2.5,pm10,so2,no2,o3,co,no,nox
London Marylebone Road,51.52253,-0.154611,2024-08-28,10:00:00+00:00,12.0,23.0,2.0,62.0,4.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,09:00:00+00:00,12.0,23.0,2.0,62.0,4.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,08:00:00+00:00,12.0,23.0,2.0,62.0,26.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,07:00:00+00:00,12.0,23.0,2.0,57.0,28.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,06:00:00+00:00,12.0,23.0,1.0,60.0,31.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,05:00:00+00:00,11.0,23.0,1.0,49.0,34.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,04:00:00+00:00,,,0.2,44.6,11.8,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,03:00:00+00:00,,,0.6,52.8,17.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,02:00:00+00:00,,,0.2,49.7,,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,01:00:00+00:00,,,0.0,,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,00:00:00+00:00,10.0,24.0,0.2,,40.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,23:00:00+00:00,,,0.3,,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,22:00:00+00:00,11.0,24.0,1.0,44.0,40.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,21:00:00+00:00,11.0,25.0,1.0,44.0,40.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,20:00:00+00:00,11.0,25.0,1.0,50.0,39.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,19:00:00+00:00,11.0,25.0,2.0,48.0,38.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,18:00:00+00:00,12.0,25.0,2.0,48.0,36.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,17:00:00+00:00,12.0,26.0,2.0,53.0,33.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,16:00:00+00:00,12.0,27.0,2.0,69.0,30.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,15:00:00+00:00,13.0,27.0,2.0,47.0,26.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,14:00:00+00:00,13.0,28.0,1.0,46.0,23.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,13:00:00+00:00,13.0,28.0,2.0,53.0,20.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,12:00:00+00:00,13.0,27.0,2.0,48.0,19.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,11:00:00+00:00,14.0,27.0,2.0,50.0,19.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,10:00:00+00:00,14.0,27.0,2.0,44.0,19.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,09:00:00+00:00,15.0,27.0,2.0,41.0,21.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,08:00:00+00:00,15.0,26.0,2.0,42.0,36.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,07:00:00+00:00,15.0,26.0,2.0,34.0,38.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,06:00:00+00:00,15.0,26.0,1.0,32.0,40.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,05:00:00+00:00,14.0,26.0,1.0,23.0,42.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,04:00:00+00:00,15.0,25.0,1.0,15.0,44.0,-500.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,03:00:00+00:00,14.0,25.0,1.0,19.0,45.0,-500.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,02:00:00+00:00,,,0.0,17.1,35.3,-500.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,01:00:00+00:00,,,0.2,,,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-27,00:00:00+00:00,13.0,23.0,0.0,30.02625,26.54281,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-26,23:00:00+00:00,,,0.1,,,,,
London Marylebone Road,51.52253,-0.154611,2024-08-26,22:00:00+00:00,12.0,23.0,0.3,,39.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-26,21:00:00+00:00,12.0,23.0,0.2,,39.0,,,
